CD_MUN;NM_MUN;V00001;V00002;V00003;V00004;V00005;V00006;V00007;V00008;V00009;V00010;V00011;V00012;V00013;V00014;V00015;V00016;V00017;V00018;V00019;V00020;V00021;V00022;V00023;V00024;V00025;V00026;V00027;V00028;V00029;V00030;V00031;V00032;V00033;V00034;V00035;V00036;V00037;V00038;V00039;V00040;V00041;V00042;V00043;V00044;V00045;V00046;V00047;V00048;V00049;V00050;V00051;V00052;V00053;V00054;V00055;V00056;V00057;V00058;V00059;V00060;V00061;V00062;V00063;V00064;V00065;V00066;V00067;V00068;V00069;V00070;V00071;V00072;V00073;V00074;V00075;V00076;V00077;V00078;V00079;V00080;V00081;V00082;V00083;V00084;V00085;V00086;V00087;V00088;V00089
3500105;Adamantina;13567;0;38;13567;34506;5;43;3496;0;0;16605;4;19;17901;0;21;2863;4527;3297;1998;626;103;11;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;12928;186;422;6;0;0;0;0;0;0;0;0;20;0;0;0;0;0;4;3;11;0;0;34506;3496;16605;17901;2863;4527;3297;1998;626;103;11;0;0;0;33238;498;732;3354;74;51
3500204;Adolfo;1650;0;0;1650;4351;0;0;529;0;0;2153;0;0;2198;0;0;285;574;416;231;100;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1627;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4351;529;2153;2198;285;574;416;231;100;20;0;0;0;0;4298;53;0;523;0;0
3500303;Aguaí;11480;0;54;11480;32008;4;54;4029;0;0;15851;0;21;16157;0;33;2107;3353;2864;1920;776;265;60;11;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;11322;4;121;14;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;32008;4029;15851;16157;2107;3353;2864;1920;776;265;60;11;0;0;31678;36;241;3995;6;15
3500402;Águas da Prata;2830;0;99;2830;7262;5;99;762;0;0;3507;3;23;3755;0;76;615;948;654;395;136;32;6;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;2721;11;92;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;7262;762;3507;3755;615;948;654;395;136;32;6;0;0;0;7039;18;188;731;0;23
3500501;Águas de Lindóia;6799;0;116;6799;17806;0;124;1738;0;6;8661;0;60;9145;0;64;1388;2226;1640;973;362;91;12;0;0;0;0;0;0;0;0;0;0;0;0;0;111;3;0;0;0;0;0;0;0;0;5942;79;764;0;0;0;0;0;0;0;0;0;90;0;0;0;5;0;21;0;0;0;0;17806;1738;8661;9145;1388;2226;1640;973;362;91;12;0;0;0;15989;254;1552;1576;25;126
3500550;Águas de Santa Bárbara;2707;0;0;2707;7149;4;0;835;0;0;3559;3;0;3590;0;0;514;950;603;388;156;53;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2620;60;13;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7149;835;3559;3590;514;950;603;388;156;53;6;0;0;0;6951;154;29;818;17;0
3500600;Águas de São Pedro;1153;0;0;1153;2779;0;0;217;0;0;1289;0;0;1490;0;0;272;438;258;117;37;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;938;3;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2779;217;1289;1490;272;438;258;117;37;12;3;0;0;0;2382;6;388;199;0;14
3500709;Agudos;12933;27;138;12933;37404;71;138;4850;8;3;18287;37;69;19117;28;69;1972;3743;3304;2411;926;323;103;21;3;0;10;7;3;3;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;12784;25;106;3;0;0;27;0;0;0;0;0;87;0;0;0;7;33;0;0;11;0;0;37404;4850;18287;19117;1972;3743;3304;2411;926;323;103;21;3;0;37078;49;241;4807;0;24
3500758;Alambari;2139;0;4;2139;6131;0;8;785;0;0;3094;0;4;3037;0;4;305;630;592;384;133;45;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1942;196;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;6131;785;3094;3037;305;630;592;384;133;45;7;0;0;0;5542;587;0;713;70;0
3500808;Alfredo Marcondes;1726;0;13;1726;4432;0;13;491;0;0;2200;0;10;2232;0;3;338;598;410;258;83;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;1726;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;4432;491;2200;2232;338;598;410;258;83;9;0;0;0;0;4432;0;0;491;0;0
