CD_MUN;NM_MUN;V00090;V00091;V00092;V00093;V00094;V00095;V00096;V00097;V00098;V00099;V00100;V00101;V00102;V00103;V00104;V00105;V00106;V00107;V00108;V00109;V00110;V00111;V00112;V00113;V00114;V00115;V00116;V00117;V00118;V00119;V00120;V00121;V00122;V00123;V00124;V00125;V00126;V00127;V00128;V00129;V00130;V00131;V00132;V00133;V00134;V00135;V00136;V00137;V00138;V00139;V00140;V00141;V00142;V00143;V00144;V00145;V00146;V00147;V00148;V00149;V00150;V00151;V00152;V00153;V00154;V00155;V00156;V00157;V00158;V00159;V00160;V00161;V00162;V00163;V00164;V00165;V00166;V00167;V00168;V00169;V00170;V00171;V00172;V00173;V00174;V00175;V00176;V00177;V00178;V00179;V00180;V00181;V00182;V00183;V00184;V00185;V00186;V00187;V00188;V00189;V00190;V00191;V00192;V00193;V00194;V00195;V00196;V00197;V00198;V00199;V00200;V00201;V00202;V00203;V00204;V00205;V00206;V00207;V00208;V00209;V00210;V00211;V00212;V00213;V00214;V00215;V00216;V00217;V00218;V00219;V00220;V00221;V00222;V00223;V00224;V00225;V00226;V00227;V00228;V00229;V00230;V00231;V00232;V00233;V00234;V00235;V00236;V00237;V00238;V00239;V00240;V00241;V00242;V00243;V00244;V00245;V00246;V00247;V00248;V00249;V00250;V00251;V00252;V00253;V00254;V00255;V00256;V00257;V00258;V00259;V00260;V00261;V00262;V00263;V00264;V00265;V00266;V00267;V00268;V00269;V00270;V00271;V00272;V00273;V00274;V00275;V00276;V00277;V00278;V00279;V00280;V00281;V00282;V00283;V00284;V00285;V00286;V00287;V00288;V00289;V00290;V00291;V00292;V00293;V00294;V00295;V00296;V00297;V00298;V00299;V00300;V00301;V00302;V00303;V00304;V00305;V00306;V00307;V00308;V00309;V00310;V00311;V00312;V00313;V00314;V00315;V00316;V00317;V00318;V00319;V00320;V00321;V00322;V00323;V00324;V00325;V00326;V00327;V00328;V00329;V00330;V00331;V00332;V00333;V00334;V00335;V00336;V00337;V00338;V00339;V00340;V00341;V00342;V00343;V00344;V00345;V00346;V00347;V00348;V00349;V00350;V00351;V00352;V00353;V00354;V00355;V00356;V00357;V00358;V00359;V00360;V00361;V00362;V00363;V00364;V00365;V00366;V00367;V00368;V00369;V00370;V00371;V00372;V00373;V00374;V00375;V00376;V00377;V00378;V00379;V00380;V00381;V00382;V00383;V00384;V00385;V00386;V00387;V00388;V00389;V00390;V00391;V00392;V00393;V00394;V00395;V00396;V00397;V00398;V00399;V00400;V00401;V00402;V00403;V00404;V00405;V00406;V00407;V00408;V00409;V00410;V00411;V00412;V00413;V00414;V00415;V00416;V00417;V00418;V00419;V00420;V00421;V00422;V00423;V00424;V00425;V00426;V00427;V00428;V00429;V00430;V00431;V00432;V00433;V00434;V00435;V00436;V00437;V00438;V00439;V00440;V00441;V00442;V00443;V00444;V00445;V00446;V00447;V00448;V00449;V00450;V00451;V00452;V00453;V00454;V00455;V00456;V00457;V00458;V00459;V00460;V00461;V00462;V00463;V00464;V00465;V00466;V00467;V00468;V00469;V00470;V00471;V00472;V00473;V00474;V00475;V00476;V00477;V00478;V00479;V00480;V00481;V00482;V00483;V00484;V00485;V00486;V00487;V00488;V00489;V00490;V00491;V00492;V00493;V00494;V00495
3500105;Adamantina;8513;578;294;3471;0;103;7;4;61;0;290;15;10;93;0;6908;6013;106;74;194;220;13166;338;42;0;0;0;0;0;12535;330;42;0;0;0;0;0;180;6;0;0;0;0;0;0;422;0;0;0;0;0;0;0;8675;598;308;3523;0;210;4;0;103;0;23;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6913;6253;269;67;38;0;0;0;0;0;0;0;0;0;0;0;13253;308;0;12614;308;0;186;0;0;422;0;0;8714;597;303;3563;0;209;7;4;83;0;0;0;0;0;0;7108;6140;119;186;0;0;7055;4519;1593;348;0;0;0;6565;4464;1530;312;0;0;0;124;12;17;27;0;0;0;339;27;42;0;0;0;0;4096;419;46;2404;0;3203;94;127;978;0;1268;0;48;172;0;311;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3615;3430;2470;2034;895;665;186;119;0;0;0;0;0;0;13156;4;135;251;0;0;0;0;12525;4;128;250;0;0;0;0;180;0;6;0;0;0;0;0;422;0;0;0;0;0;0;0;8669;598;308;3522;0;3;0;0;0;0;84;0;0;33;0;149;7;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6900;6256;3;0;112;22;200;45;0;0;0;0;0;0;0;0;13010;359;94;12;0;68;12496;237;94;12;0;68;79;107;0;0;0;0;404;15;0;0;0;0;8619;581;307;3434;0;183;15;0;145;0;53;0;0;21;0;10;0;0;0;0;0;0;0;0;0;38;0;0;22;0;6857;6144;210;147;78;3;7;0;0;0;60;6;4;379;4;371;0;6;0;0;0;0;0;0;0;239;4;0;115;0;4;0;302;73;7055;4519;1593;224;68;14;0;0;0;13565;0
3500204;Adolfo;927;79;0;602;3;18;0;0;0;0;0;0;0;0;0;707;918;17;3;0;0;1455;170;13;0;0;0;0;0;1454;148;13;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;824;74;0;543;3;100;3;0;55;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;587;866;120;43;6;6;0;0;0;0;0;0;0;0;0;0;1644;5;0;1621;5;0;21;0;0;0;0;0;941;79;0;606;3;5;0;0;0;0;0;0;0;0;0;722;920;3;0;0;0;966;538;106;26;0;0;0;960;529;97;23;0;0;0;3;8;4;0;0;0;0;0;0;0;0;0;0;0;493;49;0;413;0;345;23;0;158;3;75;0;0;20;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;549;230;306;47;52;15;4;0;0;0;0;0;0;1479;52;108;4;0;0;0;0;1478;31;107;4;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;840;74;0;551;3;34;0;0;12;0;62;3;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596;878;43;7;72;34;4;0;0;0;0;0;0;0;0;0;1587;29;30;0;0;0;1564;29;30;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;912;74;0;586;3;16;0;0;8;0;15;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;679;906;22;5;22;5;0;0;0;0;0;0;70;114;49;113;21;0;0;0;45;0;0;19;0;65;3;0;38;0;51;17;80;34;966;538;106;7;6;0;0;0;0;1649;0
3500303;Aguaí;7080;879;22;3301;0;4;0;0;0;0;103;0;0;7;0;6716;4604;0;0;61;57;10717;439;220;77;5;0;0;0;10561;437;220;77;5;0;0;0;4;0;0;0;0;0;0;0;121;0;0;0;0;0;0;0;6718;837;23;3105;0;267;28;0;133;0;145;3;0;61;0;51;3;0;13;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6194;4523;347;84;176;38;62;14;4;0;0;0;0;0;0;0;11461;3;4;11303;3;4;4;0;0;121;0;0;7193;883;23;3323;0;0;0;0;0;0;0;0;0;3;0;6792;4667;3;0;0;0;7535;3058;653;189;0;0;0;7412;3039;644;183;0;0;0;0;3;0;0;0;0;0;93;13;6;5;0;0;0;4264;667;6;2573;0;2175;163;6;655;0;546;0;0;36;0;164;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4418;3115;1810;1244;404;214;116;42;0;0;0;0;0;0;10698;0;323;417;0;0;11;0;10542;0;321;417;0;0;11;0;4;0;0;0;0;0;0;0;121;0;0;0;0;0;0;0;6708;834;23;3095;0;0;0;0;0;0;213;26;0;79;0;240;25;0;142;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;6188;4510;0;0;235;85;354;58;0;0;0;0;5;6;0;0;10550;336;404;15;0;134;10396;336;404;15;0;132;4;0;0;0;0;0;119;0;0;0;0;0;6640;823;23;3025;0;172;23;0;137;0;260;22;0;109;0;6;0;0;3;0;0;0;0;0;0;90;4;0;31;0;6144;4406;171;163;338;62;13;0;0;0;103;29;77;671;77;669;0;0;0;0;42;4;0;25;0;426;45;0;192;0;67;7;530;138;7535;3058;653;106;24;7;3;0;0;11472;0
3500402;Águas da Prata;1944;130;6;630;0;4;0;0;3;0;63;7;0;19;0;1628;1090;8;3;40;52;2540;47;12;213;0;0;0;0;2431;47;12;213;0;0;0;0;11;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;1818;129;6;577;0;28;0;0;17;0;7;0;0;3;0;151;7;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1441;1096;39;5;7;0;176;35;0;0;0;0;0;0;0;0;2817;12;0;2708;12;0;11;0;0;92;0;0;2010;139;6;652;0;5;0;0;5;0;0;0;0;0;0;1669;1145;12;0;0;0;1540;867;288;118;0;0;0;1451;850;285;118;0;0;0;8;3;0;0;0;0;0;76;11;0;0;0;0;0;990;95;3;440;0;660;29;0;162;0;242;0;0;28;0;106;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;913;625;520;344;163;117;69;45;0;0;0;0;0;0;2475;19;132;141;0;37;7;0;2367;18;132;141;0;37;7;0;11;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;1781;127;6;554;0;4;0;0;7;0;83;0;0;35;0;100;0;0;30;0;0;0;0;0;0;23;0;0;7;0;3;0;0;0;0;0;0;0;0;0;1410;1065;12;0;92;35;120;16;0;0;21;11;7;0;0;0;2675;108;33;0;0;4;2566;108;33;0;0;4;11;0;0;0;0;0;92;0;0;0;0;0;1915;132;6;612;0;69;0;0;31;0;21;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1548;1127;96;10;28;0;0;0;0;0;0;0;23;254;23;254;0;0;0;0;11;0;0;9;0;180;4;0;63;0;19;3;209;43;1540;867;288;75;16;7;0;0;0;2830;0
3500501;Águas de Lindóia;4325;237;6;1327;0;55;0;0;15;0;654;14;0;73;0;2961;2978;41;28;317;442;6398;102;24;233;0;0;0;0;5555;93;24;226;0;0;0;0;69;4;0;3;0;0;0;0;762;0;0;0;0;0;0;0;4759;254;6;1336;0;69;0;0;16;0;18;0;0;0;0;163;7;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3090;3301;58;33;8;9;136;83;0;0;0;0;0;0;0;0;6798;0;0;5941;0;0;79;0;0;764;0;0;5044;271;6;1433;0;0;0;0;0;0;0;0;0;0;0;3336;3461;0;0;0;0;3843;2159;586;170;0;0;0;3392;1831;511;166;0;0;0;54;6;0;0;0;0;0;381;307;58;0;0;0;0;2643;165;0;980;0;1707;39;0;344;0;500;0;0;38;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1789;2051;1088;1069;305;249;89;52;0;0;0;0;0;0;6274;24;162;269;3;10;3;0;5434;21;159;258;3;10;3;0;61;0;3;4;0;0;0;0;764;0;0;0;0;0;0;0;4703;252;6;1269;0;10;0;0;3;0;92;4;0;38;0;186;3;0;69;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3027;3239;11;0;80;63;152;111;0;0;10;0;0;0;0;0;6403;332;27;0;0;3;5590;291;26;0;0;0;61;10;0;0;0;3;737;23;0;0;0;0;4770;257;6;1331;0;228;10;0;72;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3115;3286;180;139;4;7;0;0;0;0;0;0;127;252;122;245;0;6;0;0;84;0;0;21;0;174;9;0;43;0;76;41;139;94;3843;2159;586;115;17;0;0;0;0;6798;0
3500550;Águas de Santa Bárbara;1638;150;19;800;0;43;5;0;10;0;6;4;0;3;0;1427;1193;45;15;10;3;2364;244;4;54;5;0;0;5;2280;239;4;54;5;0;0;5;59;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1497;140;16;697;0;138;14;0;76;0;4;0;0;0;0;30;0;0;15;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1283;1081;143;96;3;0;36;13;0;3;0;0;0;0;4;0;2698;0;4;2611;0;4;60;0;0;13;0;0;1690;162;19;812;0;0;0;0;0;0;0;0;0;0;0;1484;1214;0;0;0;3;1445;858;293;96;0;0;0;1423;824;274;84;0;0;0;3;28;17;12;0;0;0;12;0;0;0;0;0;0;802;97;0;532;0;595;26;6;199;0;199;4;3;63;0;79;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;693;475;378;176;107;55;17;0;0;0;0;0;0;1613;6;1005;45;0;10;0;0;1593;6;939;45;0;10;0;0;0;0;60;0;0;0;0;0;13;0;0;0;0;0;0;0;1067;77;4;447;0;3;0;0;0;0;558;73;11;334;0;29;0;0;10;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;829;784;0;0;604;387;21;17;0;0;7;3;0;0;0;0;2497;120;70;5;0;0;2410;120;70;5;0;0;60;0;0;0;0;0;13;0;0;0;0;0;1587;144;16;734;0;65;4;0;42;0;32;3;0;27;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1359;1138;75;42;43;27;3;0;0;0;0;0;13;315;13;310;0;0;0;0;4;0;0;3;0;176;18;3;103;0;6;3;185;119;1445;858;293;56;13;0;0;0;0;2704;0
3500600;Águas de São Pedro;764;30;17;121;0;0;0;0;0;0;156;9;5;36;0;540;398;0;0;101;109;1153;0;0;0;0;0;0;0;938;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;923;43;23;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;644;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1153;0;0;938;0;0;3;0;0;210;0;0;923;43;23;160;0;0;0;0;0;0;0;0;0;0;0;644;509;0;0;0;0;361;417;247;128;0;0;0;222;352;236;128;0;0;0;0;3;0;0;0;0;0;137;62;9;0;0;0;0;265;16;4;69;0;348;13;0;43;0;202;0;0;27;0;108;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;181;232;185;152;95;78;46;0;0;0;0;0;0;1149;0;0;0;0;0;0;0;934;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;921;42;23;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;642;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1151;0;0;0;0;0;938;0;0;0;0;0;3;0;0;0;0;0;208;0;0;0;0;0;923;43;23;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;643;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361;417;247;88;29;0;0;0;0;1153;0
3500709;Agudos;7411;1010;37;4271;12;15;0;0;3;0;75;5;0;19;0;7343;5439;8;14;64;37;12296;484;28;90;0;0;0;3;12149;484;28;89;0;0;0;3;25;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;7153;973;40;4070;13;271;25;3;173;0;11;0;0;12;0;47;7;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6918;5373;387;95;18;7;75;13;0;0;0;0;0;0;0;0;12905;9;3;12757;9;3;25;0;0;106;0;0;7498;1016;43;4294;13;4;0;0;5;0;0;0;0;0;0;7408;5495;6;3;0;0;7796;3947;891;244;3;0;0;7743;3865;878;244;3;0;0;21;0;0;0;0;0;0;22;71;13;0;0;0;0;4018;714;4;3009;7;2562;243;4;1083;0;676;9;0;135;0;209;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4216;3577;2388;1550;588;271;180;47;0;0;0;0;0;0;12170;18;565;89;9;44;4;0;12022;18;564;89;9;44;4;0;25;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;7079;955;40;4034;13;12;0;0;0;0;321;33;3;198;0;38;4;0;35;0;6;0;0;0;0;19;9;0;11;0;0;0;0;0;0;0;0;0;0;0;6839;5326;14;0;447;115;66;15;6;3;23;18;3;0;0;0;12481;171;239;7;0;6;12344;158;238;7;0;6;14;11;0;0;0;0;106;0;0;0;0;0;7281;982;37;4124;13;111;15;0;38;0;99;11;0;123;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;7096;5382;137;26;162;77;5;0;0;0;3;0;172;435;171;435;0;0;0;0;76;14;0;80;0;252;23;3;147;0;103;67;380;51;7796;3947;891;150;40;11;3;0;0;12918;6
3500758;Alambari;1292;79;0;550;0;133;7;0;54;0;0;0;0;0;0;1295;644;115;79;0;0;1748;328;5;42;0;0;0;0;1616;264;5;42;0;0;0;0;131;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1154;72;0;508;0;233;7;0;79;0;0;0;0;0;0;30;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1109;639;260;64;4;0;27;15;0;0;0;0;0;0;0;0;2132;0;0;1935;0;0;196;0;0;0;0;0;1422;86;0;605;0;0;0;0;0;0;0;0;0;0;0;1408;722;0;0;0;0;1390;553;130;51;0;0;0;1279;493;103;48;0;0;0;108;60;24;3;0;0;0;0;0;0;0;0;0;0;894;55;0;424;0;385;11;0;139;0;87;3;0;16;0;36;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;901;485;358;189;99;15;31;9;0;0;0;0;0;0;1121;0;298;702;0;0;0;0;989;0;237;697;0;0;0;0;131;0;59;4;0;0;0;0;0;0;0;0;0;0;0;0;701;62;0;350;0;0;0;0;0;0;210;5;0;76;0;501;18;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682;434;0;0;182;106;529;165;0;0;0;0;0;0;0;0;1987;88;57;0;0;0;1797;81;57;0;0;0;189;7;0;0;0;0;0;0;0;0;0;0;1329;81;0;558;0;59;0;0;19;0;35;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1282;703;75;11;48;6;0;0;0;0;0;0;29;351;29;287;0;64;0;0;24;0;0;0;0;242;7;0;89;0;23;0;270;74;1390;553;130;23;13;0;0;0;0;2137;0
3500808;Alfredo Marcondes;972;112;9;614;0;0;0;0;0;0;0;0;0;0;0;897;829;0;0;0;0;1519;166;29;3;0;0;0;0;1519;166;29;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;849;101;6;545;0;94;3;3;58;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;739;780;125;38;26;0;0;0;0;0;0;0;0;0;0;0;1721;0;0;1721;0;0;0;0;0;0;0;0;969;111;9;613;0;0;0;0;0;0;0;0;0;0;0;895;826;0;0;0;0;980;582;134;16;0;0;0;980;582;134;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511;73;0;379;0;339;28;4;197;0;92;3;0;27;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;477;500;315;264;86;41;10;3;0;0;0;0;0;0;1454;7;178;72;0;0;4;0;1454;7;178;72;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;813;101;6;515;0;5;0;0;0;0;98;6;3;61;0;43;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;695;757;5;0;127;47;57;13;0;0;0;0;0;0;0;0;1536;91;57;0;0;35;1536;91;57;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;867;101;6;544;0;52;0;0;33;0;31;0;0;17;0;0;0;0;0;0;0;0;0;0;0;19;0;0;13;0;757;779;70;18;43;11;0;0;0;0;21;12;17;184;17;184;0;0;0;0;10;0;0;3;0;109;6;3;61;0;14;3;141;42;980;582;134;6;3;0;0;0;0;1726;0
