CD_MUN;NM_MUN;CD_REGIAO;NM_REGIAO;CD_UF;NM_UF;CD_NU;NM_NU;CD_AGLOM;NM_AGLOM;CD_RGINT;NM_RGINT;CD_RGI;NM_RGI;CD_CONCURB;NM_CONCURB;AREA_KM2;v0001;v0002;v0003;v0004;v0005;v0006;v0007
3500105;Adamantina;3;Sudeste;35;São Paulo;3500105005;Lagoa Seca;.;;3505;Presidente Prudente;350019;Adamantina - Lucélia;.;;411,9865494;34687;15966;15945;21;2,5;0,0219;13586
3500204;Adolfo;3;Sudeste;35;São Paulo;3500204003;Jacarandá;.;;3507;São José do Rio Preto;350025;São José do Rio Preto;.;;211,0551815;4351;2469;2468;1;2,6;0,0248;1650
3500303;Aguaí;3;Sudeste;35;São Paulo;3500303003;Diva Assad;.;;3510;Campinas;350044;São João da Boa Vista;.;;474,5535511;32072;13586;13579;7;2,8;0,019;11483
3500402;Águas da Prata;3;Sudeste;35;São Paulo;3500402004;Fonte Platina;.;;3510;Campinas;350044;São João da Boa Vista;.;;142,6728901;7369;3913;3908;5;2,6;0,0127;2832
3500501;Águas de Lindóia;3;Sudeste;35;São Paulo;3500501001;Jardim Europa;.;;3510;Campinas;350048;Amparo;.;;60,1257628;17930;9984;9928;56;2,6;0,0643;6799
3500550;Águas de Santa Bárbara;3;Sudeste;35;São Paulo;3500550001;Termas de Santa Bárbara;.;;3502;Sorocaba;350007;Avaré;.;;404,4627892;7177;4281;4263;18;2,6;0,0467;2718
3500600;Águas de São Pedro;3;Sudeste;35;São Paulo;.;;.;;3510;Campinas;350040;Piracicaba;.;;3,6121622;2780;1995;1972;23;2,4;0,0772;1153
3500709;Agudos;3;Sudeste;35;São Paulo;3500709003;Vale do Igapó;.;;3503;Bauru;350009;Bauru;.;;966,7079603;37680;15448;15429;19;2,9;0,0185;12964
3500758;Alambari;3;Sudeste;35;São Paulo;3500758006;Cerrado;.;;3502;Sorocaba;350006;Itapetininga;3522307;Itapetininga/SP;159,6003642;6141;3140;3137;3;2,9;0,0117;2139
3500808;Alfredo Marcondes;3;Sudeste;35;São Paulo;.;;.;;3505;Presidente Prudente;350018;Presidente Prudente;3541406;Presidente Prudente/SP;118,9152778;4445;2377;2376;1;2,6;0,0267;1726
3500907;Altair;3;Sudeste;35;São Paulo;.;;.;;3507;São José do Rio Preto;350025;São José do Rio Preto;.;;313,0065862;3451;1539;1536;3;2,7;0,018;1279
3501004;Altinópolis;3;Sudeste;35;São Paulo;.;;.;;3508;Ribeirão Preto;350031;Ribeirão Preto;.;;928,9563763;16818;7684;7675;9;2,8;0,0304;6079
3501103;Alto Alegre;3;Sudeste;35;São Paulo;.;;.;;3506;Araçatuba;350023;Birigui - Penápolis;.;;318,5739225;3841;2099;2099;0;2,5;0;1518
3501152;Alumínio;3;Sudeste;35;São Paulo;3501152014;Genebra;.;;3502;Sorocaba;350003;Sorocaba;3552205;Sorocaba/SP;83,6188752;17301;7527;7504;23;2,9;0,0145;5945
3501202;Álvares Florence;3;Sudeste;35;São Paulo;.;;.;;3507;São José do Rio Preto;350027;Votuporanga;.;;362,411318;3915;2298;2298;0;2,5;0,0117;1540
3501301;Álvares Machado;3;Sudeste;35;São Paulo;3501301004;Chácaras Recreio Cobral;.;;3505;Presidente Prudente;350018;Presidente Prudente;3541406;Presidente Prudente/SP;347,6465456;27255;12849;12840;9;2,8;0,0479;9871
3501400;Álvaro de Carvalho;3;Sudeste;35;São Paulo;.;;.;;3504;Marília;350013;Marília;.;;153,6621492;4808;1352;1341;11;2,7;0,0009;1168
3501509;Alvinlândia;3;Sudeste;35;São Paulo;.;;.;;3504;Marília;350013;Marília;.;;84,8790129;2885;1220;1220;0;2,9;0,001;1007
3501608;Americana;3;Sudeste;35;São Paulo;3501608020;Jardim Mirandola;.;;3510;Campinas;350038;Campinas;3501608;Americana - Santa Bárbara d´Oeste/SP;133,9122196;237240;104551;104485;66;2,7;0,0224;89238
