COD_MUNICIPIO;N_POP_DPPO
3501608;481
3501905;359
3503901;1368
3504107;5368
3504503;84
3504909;850
3505708;8717
3506003;6136
3506359;16296
3506607;2400
3507506;602
3507605;212
3508405;950
3508504;343
3509007;6850
3509205;11071
3509502;140443
3509601;3093
3509700;9061
3510401;756
3510500;5515
3510609;60533
3512407;359
3512803;1647
3513009;11111
3513405;1106
3513504;36720
3513801;87867
3515004;53115
3515103;902
3515707;30284
3516309;22643
3516408;14708
3518404;800
3518701;105731
3518800;215481
3519071;4223
3519501;268
3519709;1251
3520400;6829
3522109;554
3522208;14112
3522505;13887
3523107;91266
3523602;757
3523909;3226
3524402;6365
3525003;4963
3525904;17986
3527207;1025
3527306;246
3528403;572
3528502;3468
3529005;3189
3529401;115117
3530607;17625
3534401;96549
3536703;152
3537602;277
3538006;148
3538709;9722
3539103;2972
3539806;2040
3540705;1234
3541000;21242
3541307;88
3543303;4586
3543402;23286
3543907;511
3544103;5166
3545209;335
3546405;995
3547304;3790
3547809;99039
3548500;46162
3548708;158190
3548906;479
3549904;6471
3550308;1717171
3550407;1506
3550605;2519
3550704;24678
3551009;85364
3552205;12179
3552403;11120
3552502;21094
3552700;154
3552809;42009
3554805;2787
3555406;16371
3556503;15401
3557006;4571
